Subject_ID,Trial,Word_List,Recalled_Words,Recall_Count,Intrusions,Intrusion_Count,Clustering_Score
1,1,"Brazil, Mexico, Japan, Brown, Purple, Green, Hawk, Peacock, Parrot, Sydney, Paris, Berlin","Purple, Green, Brazil, Mexico, Hawk, Parrot, Japan",7,"France, Falcon, Purple",3,0.99
1,2,"Brazil, Mexico, Japan, Brown, Purple, Green, Hawk, Peacock, Parrot, Sydney, Paris, Berlin","Mexico, Japan, Hawk, Purple, Peacock, Berlin, Parrot, Paris, Brown, Green",10,Parrot,1,0.81
1,3,"Brazil, Mexico, Japan, Brown, Purple, Green, Hawk, Peacock, Parrot, Sydney, Paris, Berlin","Sydney, Berlin, Japan, Purple, Green, Paris, Brown, Peacock, Brazil, Parrot, Mexico",11,,0,0.49
1,4,"Brazil, Mexico, Japan, Brown, Purple, Green, Hawk, Peacock, Parrot, Sydney, Paris, Berlin","Mexico, Peacock, Berlin, Hawk, Purple, Japan, Paris, Sydney, Green, Brown, Brazil",11,,0,0.26
1,5,"Brazil, Mexico, Japan, Brown, Purple, Green, Hawk, Peacock, Parrot, Sydney, Paris, Berlin","Sydney, Japan, Parrot, Purple, Paris, Berlin, Hawk, Peacock",8,Mexico,1,0.51
1,6,"Brazil, Mexico, Japan, Brown, Purple, Green, Hawk, Peacock, Parrot, Sydney, Paris, Berlin","Brazil, Mexico, Japan, Brown, Berlin, Peacock, Sydney",7,"Canada, Rome, Owl",3,0.28
2,1,"Canada, India, France, White, Pink, Blue, Sparrow, Pigeon, Peacock, Paris, Sydney, Cairo","Pigeon, Blue, France, White, Sparrow, Paris, Pink",7,"Black, Penguin",2,0.59
2,2,"Canada, India, France, White, Pink, Blue, Sparrow, Pigeon, Peacock, Paris, Sydney, Cairo","Paris, Sparrow, White, Sydney, Canada, France, India, Pink, Peacock, Blue, Pigeon",11,"Mexico, Paris",2,0.8
2,3,"Canada, India, France, White, Pink, Blue, Sparrow, Pigeon, Peacock, Paris, Sydney, Cairo","Cairo, Paris, India, Peacock, Pigeon, Sparrow, France, Blue, White",9,"Pink, Berlin, Owl",3,0.86
2,4,"Canada, India, France, White, Pink, Blue, Sparrow, Pigeon, Peacock, Paris, Sydney, Cairo","Blue, Cairo, Peacock, Canada, Sydney, Paris, Sparrow, White, Pink",9,Hawk,1,0.34
2,5,"Canada, India, France, White, Pink, Blue, Sparrow, Pigeon, Peacock, Paris, Sydney, Cairo","Blue, Sparrow, Sydney, Pink, India, Pigeon, White",7,"Canada, Green, Brown",3,0.1
2,6,"Canada, India, France, White, Pink, Blue, Sparrow, Pigeon, Peacock, Paris, Sydney, Cairo","Peacock, France, Sparrow, Sydney, White, Pink",6,Brazil,1,0.07
3,1,"Italy, France, Germany, Blue, Red, Purple, Sparrow, Eagle, Pigeon, New York, Sydney, Rome","France, Italy, Rome, Pigeon, Purple, Red, Germany",7,,0,0.81
3,2,"Italy, France, Germany, Blue, Red, Purple, Sparrow, Eagle, Pigeon, New York, Sydney, Rome","Pigeon, New York, Sparrow, Eagle, Purple, Germany, Italy, Rome, France, Blue, Sydney, Red",12,"Sydney, Green, Cairo",3,0.99
